rideable_type,rider_type,rides,total_minutes,average_ride_minutes
classic_bike,casual,837839,23990505.72565,28.633789696648165
classic_bike,member,1485497,19477180.252749998,13.111558120110642
electric_bike,casual,1063122,15888114.296766667,14.944770493665512
electric_bike,member,1941527,21892092.513916668,11.275708508775137
electric_scooter,casual,81450,1015626.0096000001,12.469318718232046
electric_scooter,member,56134,486013.3410166667,8.658092083526324
